index;budget;genres;original_title;popularity;revenue;runtime;title;vote_average;profit
0;237000000;Action Adventure Fantasy Science Fiction;Avatar;150437577;2787965087;1620;Avatar;72;2550965087
1;300000000;Adventure Fantasy Action;Pirates of the Caribbean: At World's End;139082615;961000000;1690;Pirates of the Caribbean: At World's End;69;661000000
2;245000000;Action Adventure Crime;Spectre;1,07E+16;880674609;1480;Spectre;63;635674609
3;250000000;Action Crime Drama Thriller;The Dark Knight Rises;11231295;1084939099;1650;The Dark Knight Rises;76;834939099
4;260000000;Action Adventure Science Fiction;John Carter;43926995;284139100;1320;John Carter;61;24139100
5;258000000;Fantasy Action Adventure;Spider-Man 3;1,16E+16;890871626;1390;Spider-Man 3;59;632871626
6;260000000;Animation Family;Tangled;48681969;591794936;1000;Tangled;74;331794936
7;280000000;Action Adventure Science Fiction;Avengers: Age of Ultron;1,34E+16;1405403694;1410;Avengers: Age of Ultron;73;1125403694
8;250000000;Adventure Fantasy Family;Harry Potter and the Half-Blood Prince;98885637;933959197;1530;Harry Potter and the Half-Blood Prince;74;683959197
9;250000000;Action Adventure Fantasy;Batman v Superman: Dawn of Justice;155790452;873260194;1510;Batman v Superman: Dawn of Justice;57;623260194
10;270000000;Adventure Fantasy Action Science Fiction;Superman Returns;57925623;391081192;1540;Superman Returns;54;121081192
11;200000000;Adventure Action Thriller Crime;Quantum of Solace;1,08E+16;586090727;1060;Quantum of Solace;61;386090727
12;200000000;Adventure Fantasy Action;Pirates of the Caribbean: Dead Man's Chest;1,46E+16;1065659812;1510;Pirates of the Caribbean: Dead Man's Chest;70;865659812
13;255000000;Action Adventure Western;The Lone Ranger;49046956;89289910;1490;The Lone Ranger;59;-165710090
14;225000000;Action Adventure Fantasy Science Fiction;Man of Steel;99398009;662845518;1430;Man of Steel;65;437845518
15;225000000;Adventure Family Fantasy;The Chronicles of Narnia: Prince Caspian;53978602;419651413;1500;The Chronicles of Narnia: Prince Caspian;63;194651413
16;220000000;Science Fiction Action Adventure;The Avengers;144448633;1519557910;1430;The Avengers;74;1299557910
17;380000000;Adventure Action Fantasy;Pirates of the Caribbean: On Stranger Tides;135413856;1045713802;1360;Pirates of the Caribbean: On Stranger Tides;64;665713802
18;225000000;Action Comedy Science Fiction;Men in Black 3;52035179;624026776;1060;Men in Black 3;62;399026776
19;250000000;Action Adventure Fantasy;The Hobbit: The Battle of the Five Armies;1,21E+16;956019788;1440;The Hobbit: The Battle of the Five Armies;71;706019788
20;215000000;Action Adventure Fantasy;The Amazing Spider-Man;89866276;752215857;1360;The Amazing Spider-Man;65;537215857
21;200000000;Action Adventure;Robin Hood;37668301;310669540;1400;Robin Hood;62;110669540
22;250000000;Adventure Fantasy;The Hobbit: The Desolation of Smaug;94370564;958400000;1610;The Hobbit: The Desolation of Smaug;76;708400000
23;180000000;Adventure Fantasy;The Golden Compass;42990906;372234864;1130;The Golden Compass;58;192234864
24;207000000;Adventure Drama Action;King Kong;6,12E+16;550000000;1870;King Kong;66;343000000
25;200000000;Drama Romance Thriller;Titanic;100025899;1845034188;1940;Titanic;75;1645034188
26;250000000;Adventure Action Science Fiction;Captain America: Civil War;1,98E+16;1153304495;1470;Captain America: Civil War;71;903304495
27;209000000;Thriller Action Adventure Science Fiction;Battleship;64928382;303025485;1310;Battleship;55;94025485
28;150000000;Action Adventure Science Fiction Thriller;Jurassic World;418708552;1513528810;1240;Jurassic World;65;1363528810
29;200000000;Action Adventure Thriller;Skyfall;93004993;1108561013;1430;Skyfall;69;908561013
30;200000000;Action Adventure Fantasy;Spider-Man 2;35149586;783766341;1270;Spider-Man 2;67;583766341
31;200000000;Action Adventure Science Fiction;Iron Man 3;7768208;1215439994;1300;Iron Man 3;68;1015439994
32;200000000;Family Fantasy Adventure;Alice in Wonderland;78530105;1025491110;1080;Alice in Wonderland;64;825491110
33;210000000;Adventure Action Science Fiction Thriller;X-Men: The Last Stand;3857526;459359555;1040;X-Men: The Last Stand;63;249359555
34;200000000;Animation Family;Monsters University;89186492;743559607;1040;Monsters University;70;543559607
35;150000000;Science Fiction Action Adventure;Transformers: Revenge of the Fallen;21939663;836297228;1500;Transformers: Revenge of the Fallen;60;686297228
36;210000000;Science Fiction Action Adventure;Transformers: Age of Extinction;116840296;1091405097;1650;Transformers: Age of Extinction;58;881405097
37;200000000;Fantasy Adventure Family;Oz: The Great and Powerful;46985445;491868548;1300;Oz: The Great and Powerful;57;291868548
38;200000000;Action Adventure Fantasy;The Amazing Spider-Man 2;89270217;705717432;1420;The Amazing Spider-Man 2;65;505717432
39;170000000;Adventure Action Science Fiction;TRON: Legacy;7379505;400062763;1250;TRON: Legacy;63;230062763
40;200000000;Animation Family Adventure Comedy;Cars 2;4998659;559852396;1060;Cars 2;58;359852396
41;200000000;Adventure Action Thriller Science Fiction;Green Lantern;51872839;219851172;1140;Green Lantern;51;19851172
42;200000000;Animation Family Comedy;Toy Story 3;6,00E+15;1066969703;1030;Toy Story 3;76;866969703
43;200000000;Action Science Fiction Thriller;Terminator Salvation;71862892;371353001;1150;Terminator Salvation;59;171353001
44;190000000;Action;Furious 7;1,02E+16;1506249360;1370;Furious 7;73;1316249360
45;200000000;Action Drama Horror Science Fiction Thriller;World War Z;81834855;531865000;1160;World War Z;67;331865000
46;250000000;Action Adventure Fantasy Science Fiction;X-Men: Days of Future Past;1,18E+16;747862775;1310;X-Men: Days of Future Past;75;497862775
47;190000000;Action Adventure Science Fiction;Star Trek Into Darkness;7,83E+15;467365246;1320;Star Trek Into Darkness;74;277365246
48;195000000;Action Family Fantasy;Jack the Giant Slayer;43349855;197687603;1140;Jack the Giant Slayer;55;2687603
49;105000000;Drama Romance;The Great Gatsby;6,12E+16;351040419;1430;The Great Gatsby;73;246040419
50;150000000;Adventure Fantasy Action Romance;Prince of Persia: The Sands of Time;6,22E+16;335154643;1160;Prince of Persia: The Sands of Time;62;185154643
51;180000000;Action Science Fiction Adventure;Pacific Rim;5,65E+16;407602906;1310;Pacific Rim;67;227602906
52;195000000;Action Science Fiction Adventure;Transformers: Dark of the Moon;2,85E+16;1123746996;1540;Transformers: Dark of the Moon;61;928746996
53;185000000;Adventure Action;Indiana Jones and the Kingdom of the Crystal Skull;75674458;786636033;1220;Indiana Jones and the Kingdom of the Crystal Skull;57;601636033
54;175000000;Adventure Animation Family;The Good Dinosaur;51692953;331926147;930;The Good Dinosaur;66;156926147
55;185000000;Animation Adventure Comedy Family Action;Brave;125114374;538983207;930;Brave;67;353983207
56;185000000;Action Adventure Science Fiction;Star Trek Beyond;65352913;343471816;1220;Star Trek Beyond;66;158471816
57;180000000;Animation Family;WALL·E;66390712;521311860;980;WALL·E;78;341311860
58;140000000;Action Comedy Crime Thriller;Rush Hour 3;2257178;258022233;910;Rush Hour 3;61;118022233
59;200000000;Action Adventure Science Fiction;2012;45274225;769653595;1580;2012;56;569653595
60;200000000;Animation Drama;A Christmas Carol;39744242;325233863;960;A Christmas Carol;66;125233863
61;176000003;Science Fiction Fantasy Action Adventure;Jupiter Ascending;8,54E+15;183987723;1240;Jupiter Ascending;52;7987720
62;180000000;Action Adventure;The Legend of Tarzan;42741719;356743061;1090;The Legend of Tarzan;55;176743061
63;180000000;Adventure Family Fantasy;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;67391328;748806957;1430;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;67;568806957
64;178000000;Science Fiction;X-Men: Apocalypse;139272042;543934787;1440;X-Men: Apocalypse;64;365934787
65;185000000;Drama Action Crime Thriller;The Dark Knight;187322927;1004558444;1520;The Dark Knight;82;819558444
66;175000000;Animation Comedy Family Adventure;Up;92201962;735099082;960;Up;77;560099082
67;175000000;Animation Family Adventure Science Fiction;Monsters vs Aliens;3,62E+16;381509870;940;Monsters vs Aliens;60;206509870
68;140000000;Action Science Fiction Adventure;Iron Man;120725053;585174222;1260;Iron Man;74;445174222
69;170000000;Adventure Drama Family;Hugo;32319043;185770160;1260;Hugo;70;15770160
70;170000000;Action Adventure Comedy Science Fiction Western;Wild Wild West;4,07E+16;222104681;1060;Wild Wild West;51;52104681
71;145000000;Adventure Action Fantasy;The Mummy: Tomb of the Dragon Emperor;60034162;401128639;1120;The Mummy: Tomb of the Dragon Emperor;52;256128639
72;175000000;Action Adventure Crime Fantasy Science Fiction;Suicide Squad;9,02E+15;745000000;1230;Suicide Squad;59;570000000
73;175000000;Fantasy Comedy Family;Evan Almighty;27082182;173000000;960;Evan Almighty;53;-2000000
74;178000000;Action Science Fiction;Edge of Tomorrow;79456485;370541256;1130;Edge of Tomorrow;76;192541256
75;175000000;Adventure Action;Waterworld;4,46E+16;264218220;1350;Waterworld;59;89218220
76;175000000;Adventure Action Thriller Science Fiction;G.I. Joe: The Rise of Cobra;32852443;302469017;1180;G.I. Joe: The Rise of Cobra;56;127469017
77;175000000;Drama Comedy Animation Family;Inside Out;1,29E+16;857611174;940;Inside Out;80;682611174
78;175000000;Family Adventure Drama Fantasy;The Jungle Book;9,42E+15;966550600;1060;The Jungle Book;67;791550600
79;200000000;Adventure Action Science Fiction;Iron Man 2;7,73E+15;623933331;1240;Iron Man 2;66;423933331
80;170000000;Adventure Fantasy Drama;Snow White and the Huntsman;77178973;396600000;1270;Snow White and the Huntsman;58;226600000
81;180000000;Fantasy Adventure Action Family Romance;Maleficent;1,11E+16;758539785;970;Maleficent;70;578539785
82;170000000;Science Fiction Action Drama Thriller;Dawn of the Planet of the Apes;2,44E+16;710644566;1300;Dawn of the Planet of the Apes;73;540644566
83;27000000;Action Adventure Science Fiction Romance;The Lovers;2418535;0;1090;The Lovers;48;-27000000
84;175000000;Drama Action Adventure Fantasy;47 Ronin;41796339;150962475;1190;47 Ronin;59;-24037525
85;170000000;Action Adventure Science Fiction;Captain America: The Winter Soldier;7,22E+15;714766572;1360;Captain America: The Winter Soldier;76;544766572
86;165000000;Comedy Adventure Fantasy Animation Family;Shrek Forever After;4,40E+16;752600867;930;Shrek Forever After;60;587600867
87;190000000;Adventure Family Mystery Science Fiction;Tomorrowland;130311355;209154322;1300;Tomorrowland;62;19154322
88;165000000;Adventure Family Animation Action Comedy;Big Hero 6;20373459;652105443;1020;Big Hero 6;78;487105443
89;165000000;Family Animation Comedy Adventure;Wreck-It Ralph;62341073;471222889;1080;Wreck-It Ralph;71;306222889
90;165000000;Adventure Animation Family Fantasy;The Polar Express;47323228;305875730;1000;The Polar Express;64;140875730
91;165000000;Action Adventure Science Fiction;Independence Day: Resurgence;48775723;389681935;1200;Independence Day: Resurgence;49;224681935
92;165000000;Fantasy Adventure Animation Family;How to Train Your Dragon;67263269;494878759;980;How to Train Your Dragon;75;329878759
93;200000000;Action Thriller Science Fiction;Terminator 3: Rise of the Machines;69405188;435000000;1090;Terminator 3: Rise of the Machines;59;235000000
94;170000000;Action Science Fiction Adventure;Guardians of the Galaxy;4,81E+16;773328629;1210;Guardians of the Galaxy;79;603328629
95;165000000;Adventure Drama Science Fiction;Interstellar;724247784;675120017;1690;Interstellar;81;510120017
96;160000000;Action Thriller Science Fiction Mystery Adventure;Inception;16758371;825532764;1480;Inception;81;665532764
97;15000000;Action Adventure Drama Horror Science Fiction;シン・ゴジラ;9,48E+15;77000000;1200;Shin Godzilla;65;62000000
98;250000000;Adventure Fantasy Action;The Hobbit: An Unexpected Journey;108849621;1021103568;1690;The Hobbit: An Unexpected Journey;70;771103568
99;38000000;Action Crime Thriller;The Fast and the Furious;6909942;207283925;1060;The Fast and the Furious;66;169283925
100;150000000;Fantasy Drama Thriller Mystery Romance;The Curious Case of Benjamin Button;6,03E+16;333932083;1660;The Curious Case of Benjamin Button;73;183932083
101;160000000;Action Science Fiction Adventure;X-Men: First Class;3195174;353624124;1320;X-Men: First Class;71;193624124
102;160000000;Action Adventure Science Fiction;The Hunger Games: Mockingjay - Part 2;1,27E+16;653428261;1370;The Hunger Games: Mockingjay - Part 2;66;493428261
103;150000000;Fantasy Adventure Action Comedy Drama;The Sorcerer's Apprentice;35580815;215283742;1090;The Sorcerer's Apprentice;58;65283742
104;160000000;Adventure Action Drama Thriller;Poseidon;21133748;181674817;990;Poseidon;55;21674817
105;170000000;Fantasy;Alice Through the Looking Glass;5,63E+16;299370084;1130;Alice Through the Looking Glass;65;129370084
106;160000000;Fantasy Adventure Animation Comedy Family;Shrek the Third;42986467;798958165;930;Shrek the Third;60;638958165
107;160000000;Action Adventure Fantasy;Warcraft;63148529;433677183;1230;Warcraft;63;273677183
108;155000000;Science Fiction Action Thriller Adventure;Terminator Genisys;2,02E+16;440603537;1260;Terminator Genisys;58;285603537
109;155000000;Adventure Family Fantasy;The Chronicles of Narnia: The Voyage of the Dawn Treader;4,97E+16;415686217;1130;The Chronicles of Narnia: The Voyage of the Dawn Treader;62;260686217
110;140000000;History Romance War;Pearl Harbor;3420669;449220945;1830;Pearl Harbor;66;309220945
111;150000000;Adventure Science Fiction Action;Transformers;25468493;709709780;1440;Transformers;66;559709780
112;155000000;War History Action Adventure Drama;Alexander;3,90E+16;167298192;1750;Alexander;56;12298192
113;150000000;Adventure Fantasy Family Mystery;Harry Potter and the Order of the Phoenix;7,81E+15;938212738;1380;Harry Potter and the Order of the Phoenix;74;788212738
114;150000000;Adventure Fantasy Family;Harry Potter and the Goblet of Fire;101250416;895921036;1570;Harry Potter and the Goblet of Fire;75;745921036
115;150000000;Fantasy Action;Hancock;5,68E+16;624029371;920;Hancock;62;474029371
116;150000000;Drama Horror Action Thriller Science Fiction;I Am Legend;70867401;585349010;1010;I Am Legend;69;435349010
117;150000000;Adventure Comedy Family Fantasy;Charlie and the Chocolate Factory;5,39E+15;474968763;1150;Charlie and the Chocolate Factory;67;324968763
118;150000000;Animation Comedy Family Fantasy;Ratatouille;65677399;623722818;1110;Ratatouille;75;473722818
119;150000000;Action Crime Drama;Batman Begins;115040024;374218673;1400;Batman Begins;75;224218673
120;150000000;Family Animation;Madagascar: Escape 2 Africa;44141021;603900354;890;Madagascar: Escape 2 Africa;62;453900354
121;150000000;Adventure Fantasy Action Comedy Family;Night at the Museum: Battle of the Smithsonian;81781591;413106170;1050;Night at the Museum: Battle of the Smithsonian;59;263106170
122;150000000;Adventure Action Thriller Science Fiction;X-Men Origins: Wolverine;5,95E+15;373062864;1070;X-Men Origins: Wolverine;62;223062864
123;150000000;Adventure Action Thriller Science Fiction;The Matrix Revolutions;73313918;424988211;1290;The Matrix Revolutions;64;274988211
124;150000000;Animation Adventure Family;Frozen;1,65E+16;1274219009;1020;Frozen;73;1124219009
125;150000000;Adventure Action Thriller Science Fiction;The Matrix Reloaded;7078591;738599701;1380;The Matrix Reloaded;67;588599701
126;170000000;Action Adventure Fantasy;Thor: The Dark World;99499595;644571402;1120;Thor: The Dark World;68;474571402
127;150000000;Action Adventure Science Fiction Thriller;Mad Max: Fury Road;4,34E+16;378858340;1200;Mad Max: Fury Road;72;228858340
128;150000000;Thriller Mystery;Angels & Demons;67447636;356613439;1380;Angels & Demons;65;206613439
129;150000000;Adventure Fantasy Action;Thor;86493424;449326618;1150;Thor;66;299326618
130;150000000;Animation Family Adventure Comedy;Bolt;4,18E+16;309979994;980;Bolt;63;159979994
131;150000000;Fantasy Action Adventure Family Comedy;G-Force;2,67E+16;292817841;880;G-Force;51;142817841
132;150000000;Adventure;Wrath of the Titans;4,49E+16;301000000;990;Wrath of the Titans;55;151000000
133;150000000;Comedy Fantasy;Dark Shadows;50306728;245527149;1130;Dark Shadows;57;95527149
134;150000000;Action Adventure Thriller;Mission: Impossible - Rogue Nation;1,15E+16;682330139;1310;Mission: Impossible - Rogue Nation;71;532330139
135;150000000;Drama Horror Thriller;The Wolfman;21214571;0;1020;The Wolfman;55;-150000000
136;150000000;Family Animation Adventure Comedy;Bee Movie;29332905;287594577;910;Bee Movie;57;137594577
137;150000000;Animation Family;Kung Fu Panda 2;51247321;665692281;910;Kung Fu Panda 2;67;515692281
138;150000000;Action Adventure Family Fantasy;The Last Airbender;3,38E+16;318502923;1030;The Last Airbender;47;168502923
139;150000000;Adventure Action Thriller;Mission: Impossible III;63079003;397850012;1260;Mission: Impossible III;65;247850012
140;150000000;Action Drama Thriller;White House Down;39004588;205366737;1310;White House Down;64;55366737
141;150000000;Adventure Animation Family;Mars Needs Moms;1,24E+16;38992758;880;Mars Needs Moms;55;-111007242
142;149000000;Adventure Animation Comedy Family;Flushed Away;22550135;64459316;850;Flushed Away;60;-84540684
143;150000000;Adventure Family Fantasy;Pan;4803528;128388320;1110;Pan;59;-21611680
144;145000000;Animation Adventure Family;Mr. Peabody & Sherman;3873494;272912430;920;Mr. Peabody & Sherman;67;127912430
145;175000000;Adventure Drama War;Troy;66803149;497409852;1630;Troy;69;322409852
146;145000000;Animation Family;Madagascar 3: Europe's Most Wanted;4,50E+16;746921274;930;Madagascar 3: Europe's Most Wanted;64;601921274
147;140000000;Adventure Action Thriller;Die Another Day;5,42E+16;431971116;1330;Die Another Day;58;291971116
148;144000000;Action Fantasy Comedy;Ghostbusters;6621806;229147509;1160;Ghostbusters;53;85147509
149;140000000;Action Thriller Science Fiction Adventure;Armageddon;58485967;553799566;1510;Armageddon;64;413799566
